Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,154.12,18807,1386.082,39496,56882,212.11,113.72,18807,10260,1540.975,1386.082,52544,38324,69475,52236
2009,134.58,18793,1399.663,38324,52502,212.11,113.72,18807,10260,1540.975,1386.082,52544,38324,69475,52236
2010,125.74,17408,1421.414,38790,52655,212.11,113.72,18807,10260,1540.975,1386.082,52544,38324,69475,52236
2011,113.72,14516,1433.739,40410,52236,212.11,113.72,18807,10260,1540.975,1386.082,52544,38324,69475,52236
2012,113.9,15983,1445.078,41691,52617,212.11,113.72,18807,10260,1540.975,1386.082,52544,38324,69475,52236
2013,133.82,15044,1457.75,42946,52980,212.11,113.72,18807,10260,1540.975,1386.082,52544,38324,69475,52236
2014,153.82,14261,1475.618,45187,55803,212.11,113.72,18807,10260,1540.975,1386.082,52544,38324,69475,52236
2015,162.93,14281,1494.294,47853,58735,212.11,113.72,18807,10260,1540.975,1386.082,52544,38324,69475,52236
2016,177.89,12939,1511.51,48965,59728,212.11,113.72,18807,10260,1540.975,1386.082,52544,38324,69475,52236
2017,196.97,11836,1527.718,50445,62959,212.11,113.72,18807,10260,1540.975,1386.082,52544,38324,69475,52236
2018,212.11,10260,1540.975,52544,69475,212.11,113.72,18807,10260,1540.975,1386.082,52544,38324,69475,52236
