Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,148.02,3907,1025.412,58900,78469,210.86,113.37,3907,1762,1150.215,1025.412,82506,54063,101463,73678
2009,126.44,3220,1040.594,54234,75084,210.86,113.37,3907,1762,1150.215,1025.412,82506,54063,101463,73678
2010,121.27,3203,1052.559,54063,73678,210.86,113.37,3907,1762,1150.215,1025.412,82506,54063,101463,73678
2011,113.37,2931,1065.452,57705,74241,210.86,113.37,3907,1762,1150.215,1025.412,82506,54063,101463,73678
2012,113.94,2779,1077.731,61921,74208,210.86,113.37,3907,1762,1150.215,1025.412,82506,54063,101463,73678
2013,129.86,2567,1093.758,61545,78909,210.86,113.37,3907,1762,1150.215,1025.412,82506,54063,101463,73678
2014,151.78,2557,1109.358,64138,80338,210.86,113.37,3907,1762,1150.215,1025.412,82506,54063,101463,73678
2015,161.69,2439,1124.606,69248,83036,210.86,113.37,3907,1762,1150.215,1025.412,82506,54063,101463,73678
2016,178.13,1832,1137.194,72483,90920,210.86,113.37,3907,1762,1150.215,1025.412,82506,54063,101463,73678
2017,194.46,1843,1144.863,76886,95062,210.86,113.37,3907,1762,1150.215,1025.412,82506,54063,101463,73678
2018,210.86,1762,1150.215,82506,101463,210.86,113.37,3907,1762,1150.215,1025.412,82506,54063,101463,73678
