Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,185.45,6773,902.311,30937,43534,205.28,127.65,6773,4103,994.4,902.311,43084,30610,52318,41563
2009,148.44,5861,913.555,30610,45219,205.28,127.65,6773,4103,994.4,902.311,43084,30610,52318,41563
2010,141.36,5169,932.063,31723,44869,205.28,127.65,6773,4103,994.4,902.311,43084,30610,52318,41563
2011,128.51,5521,939.479,33428,42572,205.28,127.65,6773,4103,994.4,902.311,43084,30610,52318,41563
2012,127.65,6073,945.349,34306,41563,205.28,127.65,6773,4103,994.4,902.311,43084,30610,52318,41563
2013,139.89,5061,952.029,34998,43741,205.28,127.65,6773,4103,994.4,902.311,43084,30610,52318,41563
2014,157.61,4103,961.311,37434,43338,205.28,127.65,6773,4103,994.4,902.311,43084,30610,52318,41563
2015,165.66,4772,970.442,39725,46608,205.28,127.65,6773,4103,994.4,902.311,43084,30610,52318,41563
2016,174.99,4975,977.956,40327,48323,205.28,127.65,6773,4103,994.4,902.311,43084,30610,52318,41563
2017,190.33,4547,986.542,41137,51452,205.28,127.65,6773,4103,994.4,902.311,43084,30610,52318,41563
2018,205.28,4929,994.4,43084,52318,205.28,127.65,6773,4103,994.4,902.311,43084,30610,52318,41563
