Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,193.41,149,28.063,30520,39641,202.03,130.1,499,126,28.152,27.776,48613,30520,49979,39641
2009,165.87,126,28.152,31405,41904,202.03,130.1,499,126,28.152,27.776,48613,30520,49979,39641
2010,145.08,196,28.126,32519,40859,202.03,130.1,499,126,28.152,27.776,48613,30520,49979,39641
2011,130.1,180,28.144,35026,40221,202.03,130.1,499,126,28.152,27.776,48613,30520,49979,39641
2012,132.83,264,27.86,36244,41201,202.03,130.1,499,126,28.152,27.776,48613,30520,49979,39641
2013,135.94,432,27.826,39861,42129,202.03,130.1,499,126,28.152,27.776,48613,30520,49979,39641
2014,152.45,284,27.857,40201,43755,202.03,130.1,499,126,28.152,27.776,48613,30520,49979,39641
2015,164.65,209,27.776,42710,43584,202.03,130.1,499,126,28.152,27.776,48613,30520,49979,39641
2016,177.34,193,27.851,44313,46141,202.03,130.1,499,126,28.152,27.776,48613,30520,49979,39641
2017,184.5,316,27.956,44935,49979,202.03,130.1,499,126,28.152,27.776,48613,30520,49979,39641
2018,202.03,499,28.047,48613,47365,202.03,130.1,499,126,28.152,27.776,48613,30520,49979,39641
