Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,210.32,1091,128.724,31646,39627,216.5,161.62,1450,1025,136.527,128.724,48739,31646,49471,35985
2009,193.71,1398,129.349,33026,35985,216.5,161.62,1450,1025,136.527,128.724,48739,31646,49471,35985
2010,178.6,1450,135,35821,38254,216.5,161.62,1450,1025,136.527,128.724,48739,31646,49471,35985
2011,167.37,1312,135.215,37214,39526,216.5,161.62,1450,1025,136.527,128.724,48739,31646,49471,35985
2012,161.62,1245,134.56,37918,39837,216.5,161.62,1450,1025,136.527,128.724,48739,31646,49471,35985
2013,164.48,1302,134.407,38913,40882,216.5,161.62,1450,1025,136.527,128.724,48739,31646,49471,35985
2014,171.98,1074,134.514,40760,40581,216.5,161.62,1450,1025,136.527,128.724,48739,31646,49471,35985
2015,179.44,1025,135.114,43734,40739,216.5,161.62,1450,1025,136.527,128.724,48739,31646,49471,35985
2016,190.5,1038,136.314,45205,43164,216.5,161.62,1450,1025,136.527,128.724,48739,31646,49471,35985
2017,206.71,1222,136.527,46493,46123,216.5,161.62,1450,1025,136.527,128.724,48739,31646,49471,35985
2018,216.5,1139,136.373,48739,49471,216.5,161.62,1450,1025,136.527,128.724,48739,31646,49471,35985
