Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,163.18,1097,163.18,28422,36894,181.827,163.18,1097,614,181.827,163.18,36974,28228,46633,36894
2009,166.629,0,166.629,28228,37846,181.827,163.18,1097,614,181.827,163.18,36974,28228,46633,36894
2010,174.73,865,174.73,29455,39261,181.827,163.18,1097,614,181.827,163.18,36974,28228,46633,36894
2011,175.813,786,175.813,31763,36898,181.827,163.18,1097,614,181.827,163.18,36974,28228,46633,36894
2012,176.678,930,176.678,32101,38185,181.827,163.18,1097,614,181.827,163.18,36974,28228,46633,36894
2013,176.605,913,176.605,32895,40106,181.827,163.18,1097,614,181.827,163.18,36974,28228,46633,36894
2014,178.233,798,178.233,32890,38737,181.827,163.18,1097,614,181.827,163.18,36974,28228,46633,36894
2015,179.179,844,179.179,35494,39925,181.827,163.18,1097,614,181.827,163.18,36974,28228,46633,36894
2016,180.268,614,180.268,35406,43327,181.827,163.18,1097,614,181.827,163.18,36974,28228,46633,36894
2017,181.574,778,181.574,36537,43413,181.827,163.18,1097,614,181.827,163.18,36974,28228,46633,36894
2018,181.827,962,181.827,36974,46633,181.827,163.18,1097,614,181.827,163.18,36974,28228,46633,36894
