Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,182.38,12432,795.921,29524,44716,193.26,122.42,13892,11043,896.764,795.921,39703,28915,51586,44716
2009,141.64,12459,804.989,28915,46938,193.26,122.42,13892,11043,896.764,795.921,39703,28915,51586,44716
2010,132.31,12223,841.072,31028,45045,193.26,122.42,13892,11043,896.764,795.921,39703,28915,51586,44716
2011,122.42,12020,848.14,32710,44903,193.26,122.42,13892,11043,896.764,795.921,39703,28915,51586,44716
2012,126.04,13892,853.963,34508,45599,193.26,122.42,13892,11043,896.764,795.921,39703,28915,51586,44716
2013,142.76,12798,862.557,35218,46688,193.26,122.42,13892,11043,896.764,795.921,39703,28915,51586,44716
2014,162.47,11043,869.957,37461,47451,193.26,122.42,13892,11043,896.764,795.921,39703,28915,51586,44716
2015,169.82,12138,877.197,38015,51150,193.26,122.42,13892,11043,896.764,795.921,39703,28915,51586,44716
2016,175.15,12843,882.361,37920,49812,193.26,122.42,13892,11043,896.764,795.921,39703,28915,51586,44716
2017,182.89,11273,888.988,38467,49904,193.26,122.42,13892,11043,896.764,795.921,39703,28915,51586,44716
2018,193.26,11895,896.764,39703,51586,193.26,122.42,13892,11043,896.764,795.921,39703,28915,51586,44716
