Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,184.65,784,148.283,25756,48614,187.77,128.3,820,571,152.381,148.136,35306,24808,58255,44020
2009,151.78,704,148.136,24808,44102,187.77,128.3,820,571,152.381,148.136,35306,24808,58255,44020
2010,142.58,734,152.381,26715,44020,187.77,128.3,820,571,152.381,148.136,35306,24808,58255,44020
2011,130.85,820,151.886,29732,48319,187.77,128.3,820,571,152.381,148.136,35306,24808,58255,44020
2012,128.3,698,151.026,29292,45464,187.77,128.3,820,571,152.381,148.136,35306,24808,58255,44020
2013,132.49,764,150.416,29773,45794,187.77,128.3,820,571,152.381,148.136,35306,24808,58255,44020
2014,146.02,571,149.603,33107,44490,187.77,128.3,820,571,152.381,148.136,35306,24808,58255,44020
2015,152.98,592,150.199,32605,46440,187.77,128.3,820,571,152.381,148.136,35306,24808,58255,44020
2016,165.7,583,149.509,33457,51320,187.77,128.3,820,571,152.381,148.136,35306,24808,58255,44020
2017,177.38,638,149.696,34323,55076,187.77,128.3,820,571,152.381,148.136,35306,24808,58255,44020
2018,187.77,595,151.366,35306,58255,187.77,128.3,820,571,152.381,148.136,35306,24808,58255,44020
