Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,182.56,182,34.562,27009,47333,182.56,110.79,293,136,34.832,30.802,37844,26537,58776,46377
2009,169.52,136,34.478,26537,46377,182.56,110.79,293,136,34.832,30.802,37844,26537,58776,46377
2010,139.24,165,34.832,27738,50093,182.56,110.79,293,136,34.832,30.802,37844,26537,58776,46377
2011,122.19,182,34.238,29098,47938,182.56,110.79,293,136,34.832,30.802,37844,26537,58776,46377
2012,110.79,225,33.624,29569,47480,182.56,110.79,293,136,34.832,30.802,37844,26537,58776,46377
2013,114.71,212,32.126,30539,50487,182.56,110.79,293,136,34.832,30.802,37844,26537,58776,46377
2014,120.06,217,31.71,32354,49995,182.56,110.79,293,136,34.832,30.802,37844,26537,58776,46377
2015,131.26,247,31.383,34941,54670,182.56,110.79,293,136,34.832,30.802,37844,26537,58776,46377
2016,140.64,245,30.906,36253,49793,182.56,110.79,293,136,34.832,30.802,37844,26537,58776,46377
2017,149.93,293,31.123,36350,58776,182.56,110.79,293,136,34.832,30.802,37844,26537,58776,46377
2018,157.11,281,30.802,37844,57705,182.56,110.79,293,136,34.832,30.802,37844,26537,58776,46377
