Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,203.43,27255,9771.522,43426,55452,265.94,161.2,27255,20493,10120.54,9771.522,62224,41863,67986,52239
2009,172.11,24583,9831.945,41863,54375,265.94,161.2,27255,20493,10120.54,9771.522,62224,41863,67986,52239
2010,170.76,23807,9822.433,43597,52595,265.94,161.2,27255,20493,10120.54,9771.522,62224,41863,67986,52239
2011,162.9,21605,9876.727,46469,52239,265.94,161.2,27255,20493,10120.54,9771.522,62224,41863,67986,52239
2012,161.2,22439,9938.436,49510,52929,265.94,161.2,27255,20493,10120.54,9771.522,62224,41863,67986,52239
2013,176.82,21327,9998.105,49132,54443,265.94,161.2,27255,20493,10120.54,9771.522,62224,41863,67986,52239
2014,201.01,20493,10048.408,52233,55686,265.94,161.2,27255,20493,10120.54,9771.522,62224,41863,67986,52239
2015,211.97,21474,10097.037,55470,59045,265.94,161.2,27255,20493,10120.54,9771.522,62224,41863,67986,52239
2016,228.08,23622,10120.54,57127,61308,265.94,161.2,27255,20493,10120.54,9771.522,62224,41863,67986,52239
2017,246.54,23454,10118.759,59058,64912,265.94,161.2,27255,20493,10120.54,9771.522,62224,41863,67986,52239
2018,265.94,21702,10105.518,62224,67986,265.94,161.2,27255,20493,10120.54,9771.522,62224,41863,67986,52239
