Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,185.77,1640,9771.522,26846,46066,194.25,113.54,2013,1420,10120.54,9771.522,39897,25889,53632,41223
2009,141.6,1420,9831.945,25889,42769,194.25,113.54,2013,1420,10120.54,9771.522,39897,25889,53632,41223
2010,123.36,1590,9822.433,28446,43596,194.25,113.54,2013,1420,10120.54,9771.522,39897,25889,53632,41223
2011,116.51,1945,9876.727,29992,44795,194.25,113.54,2013,1420,10120.54,9771.522,39897,25889,53632,41223
2012,113.54,2013,9938.436,31698,42054,194.25,113.54,2013,1420,10120.54,9771.522,39897,25889,53632,41223
2013,126.37,1732,9998.105,33160,41223,194.25,113.54,2013,1420,10120.54,9771.522,39897,25889,53632,41223
2014,146.5,1545,10048.408,35754,43171,194.25,113.54,2013,1420,10120.54,9771.522,39897,25889,53632,41223
2015,154.3,1586,10097.037,36357,46593,194.25,113.54,2013,1420,10120.54,9771.522,39897,25889,53632,41223
2016,165,1536,10120.54,37209,49467,194.25,113.54,2013,1420,10120.54,9771.522,39897,25889,53632,41223
2017,178.72,1553,10118.759,38062,50783,194.25,113.54,2013,1420,10120.54,9771.522,39897,25889,53632,41223
2018,194.25,1591,10105.518,39897,53632,194.25,113.54,2013,1420,10120.54,9771.522,39897,25889,53632,41223
