Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,145.71,1756,404.84,41023,58822,183.7,103.01,1896,1487,435.594,404.84,56193,40571,70294,52746
2009,117.28,1896,409.069,40571,57647,183.7,103.01,1896,1487,435.594,409.069,56193,40571,70294,52746
2010,111.8,1544,416.396,41460,53735,183.7,103.01,1663,1487,435.594,416.396,56193,41460,70294,52746
2011,103.48,1487,420.542,42404,52746,183.7,103.01,1663,1487,435.594,420.542,56193,42404,70294,52746
2012,103.01,1535,425,43908,56038,183.7,103.01,1663,1490,435.594,425,56193,43908,70294,55411
2013,113.67,1617,427.054,44860,55411,183.7,113.67,1663,1490,435.594,427.054,56193,44860,70294,55411
2014,135.05,1597,428.98,47557,57428,183.7,135.05,1663,1490,435.594,428.98,56193,47557,70294,57428
2015,144.95,1490,431.241,51672,60047,183.7,144.95,1663,1490,435.594,431.241,56193,51672,70294,60047
2016,158.7,1663,434.767,52686,62999,183.7,158.7,1663,1554,435.594,434.767,56193,52686,70294,62999
2017,171.99,1554,435.477,53989,70294,183.7,171.99,1584,1554,435.594,435.477,56193,53989,70294,69665
2018,183.7,1584,435.594,56193,69665,183.7,183.7,1584,1584,435.594,435.594,56193,56193,69665,69665
