Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,171.29,567,133.624,47772,64829,223.94,124.38,567,273,141.185,133.624,74984,46103,85624,61179
2009,144.1,402,134.614,46103,66970,223.94,124.38,435,273,141.185,134.614,74984,46103,85624,61179
2010,133.26,435,136.808,46696,62893,223.94,124.38,435,273,141.185,136.808,74984,46696,85624,61179
2011,124.38,423,137.75,48859,61179,223.94,124.38,423,273,141.185,137.75,74984,48859,85624,61179
2012,125.18,395,138.625,53706,65698,223.94,125.18,411,273,141.185,138.625,74984,53706,85624,65698
2013,142.48,411,139.706,55225,68619,223.94,142.48,411,273,141.185,139.417,74984,55225,85624,68619
2014,166.46,314,140.567,59563,71063,223.94,166.46,357,273,141.185,139.417,74984,59563,85624,71063
2015,177.03,357,141.096,63995,72683,223.94,177.03,357,273,141.185,139.417,74984,63995,85624,72683
2016,196.24,331,141.185,67580,73112,223.94,196.24,331,273,141.185,139.417,74984,67580,85624,73112
2017,208.65,273,140.386,69791,83881,223.94,208.65,294,273,140.386,139.417,74984,69791,85624,83881
2018,223.94,294,139.417,74984,85624,223.94,223.94,294,294,139.417,139.417,74984,74984,85624,85624
