Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,157.06,2235,340.254,48065,75029,194.78,113.35,2266,1507,393.149,340.254,66700,46171,89175,68330
2009,133.31,2266,346.986,46171,70751,194.78,113.35,2266,1507,393.149,340.254,66700,46171,89175,68330
2010,122.39,2248,350.026,47540,68330,194.78,113.35,2266,1507,393.149,340.254,66700,46171,89175,68330
2011,113.35,2247,356.312,49641,69581,194.78,113.35,2266,1507,393.149,340.254,66700,46171,89175,68330
2012,114.94,1948,360.277,52509,69521,194.78,113.35,2266,1507,393.149,340.254,66700,46171,89175,68330
2013,133.58,2025,365.445,53456,73643,194.78,113.35,2266,1507,393.149,340.254,66700,46171,89175,68330
2014,152.87,1889,369.326,56257,75689,194.78,113.35,2266,1507,393.149,340.254,66700,46171,89175,68330
2015,158.65,1958,373.058,59854,76203,194.78,113.35,2266,1507,393.149,340.254,66700,46171,89175,68330
2016,169.21,1800,379.288,61838,85326,194.78,113.35,2266,1507,393.149,340.254,66700,46171,89175,68330
2017,183.08,1749,385.565,64015,81366,194.78,113.35,2266,1507,393.149,340.254,66700,46171,89175,68330
2018,194.78,1507,393.149,66700,89175,194.78,113.35,2266,1507,393.149,340.254,66700,46171,89175,68330
