Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,200.3,428,20.323,37543,48770,200,121,511,353,20.323,18.516,53599,37162,55079,41421
2009,176.84,432,20.081,37162,42684,200,121,511,353,20.323,18.516,53599,3767,55079,41421
2010,144.8,435,19.914,39149,41421,200,121,511,353,20.323,18.516,53599,3767,55079,41421
2011,129.13,460,19.715,39682,44923,200,121,511,353,20.323,18.516,53599,3767,55079,41421
2012,120.51,511,19.374,41286,46450,200,121,511,353,20.323,18.516,53599,3767,55079,41421
2013,126,460,18.895,43209,47645,200,121,511,353,20.323,18.516,53599,3767,55079,41421
2014,131.18,369,18.662,46489,47964,200,121,511,353,20.323,18.516,53599,3767,55079,41421
2015,137.95,353,18.516,48285,46813,200,121,511,353,20.323,18.516,53599,3767,55079,41421
2016,151.6,455,18.772,49058,53646,200,121,511,353,20.323,18.516,53599,3767,55079,41421
2017,159.25,439,18.74,50905,51756,200,121,511,353,20.323,18.516,53599,3767,55079,41421
2018,170.4,442,18.804,53599,55079,200,121,511,353,20.323,18.516,53599,3767,55079,41421
