Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,164.96,14902,2087.348,31624,57590,215.73,119.8,14902,7467,2450.758,2087.348,40637,30448,66793,52416
2009,126.43,11779,2121.839,30448,55151,215.73,119.8,14902,7467,2450.758,2087.348,40637,30448,66793,52416
2010,125.2,11328,2201.652,30698,53981,215.73,119.8,14902,7467,2450.758,2087.348,40637,30448,66793,52416
2011,119.8,9775,2234.301,32196,52491,215.73,119.8,14902,7467,2450.758,2087.348,40637,30448,66793,52416
2012,120.28,9028,2261.967,32737,52416,215.73,119.8,14902,7467,2450.758,2087.348,40637,30448,66793,52416
2013,139.19,8478,2288.043,33440,53909,215.73,119.8,14902,7467,2450.758,2087.348,40637,30448,66793,52416
2014,164.81,7467,2317.955,34753,56877,215.73,119.8,14902,7467,2450.758,2087.348,40637,30448,66793,52416
2015,173.31,8565,2347.921,36642,57895,215.73,119.8,14902,7467,2450.758,2087.348,40637,30448,66793,52416
2016,184.58,8492,2382.57,37936,59951,215.73,119.8,14902,7467,2450.758,2087.348,40637,30448,66793,52416
2017,200.12,8475,2417.224,38975,63776,215.73,119.8,14902,7467,2450.758,2087.348,40637,30448,66793,52416
2018,215.73,8358,2450.758,40637,66793,215.73,119.8,14902,7467,2450.758,2087.348,40637,30448,66793,52416
