Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,182.29,1550,264.933,39802,60088,222.3,140.48,1740,1116,284.01,264.933,58491,39055,70634,53620
2009,161.77,1387,266.566,39055,55638,222.3,140.48,1740,1116,284.01,264.933,58491,39055,70634,53620
2010,150.39,1536,269.805,40233,53620,222.3,140.48,1740,1116,284.01,264.933,58491,39055,70634,53620
2011,140.48,1564,271.05,42699,53877,222.3,140.48,1740,1116,284.01,264.933,58491,39055,70634,53620
2012,142.23,1528,274.184,44670,58427,222.3,140.48,1740,1116,284.01,264.933,58491,39055,70634,53620
2013,155.2,1625,275.751,46004,57743,222.3,140.48,1740,1116,284.01,264.933,58491,39055,70634,53620
2014,174.38,1491,278.296,48532,61775,222.3,140.48,1740,1116,284.01,264.933,58491,39055,70634,53620
2015,182.6,1671,280.171,51714,61761,222.3,140.48,1740,1116,284.01,264.933,58491,39055,70634,53620
2016,197.55,1740,281.958,53041,69517,222.3,140.48,1740,1116,284.01,264.933,58491,39055,70634,53620
2017,209.76,1116,282.838,55635,70634,222.3,140.48,1740,1116,284.01,264.933,58491,39055,70634,53620
2018,222.3,1198,284.01,58491,70626,222.3,140.48,1740,1116,284.01,264.933,58491,39055,70634,53620
