Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,155.71,1981,707.459,75455,84879,254.65,130.88,3420,1830,769.545,707.459,126392,71677,122930,81378
2009,139,1830,717.891,71677,84678,254.65,130.88,3420,1830,769.545,707.459,126392,71677,122930,81378
2010,136.14,1994,719.725,73805,82413,254.65,130.88,3420,1830,769.545,707.459,126392,71677,122930,81378
2011,130.88,2195,728.404,79903,81378,254.65,130.88,3420,1830,769.545,707.459,126392,71677,122930,81378
2012,133.55,2826,739.427,88058,81568,254.65,130.88,3420,1830,769.545,707.459,126392,71677,122930,81378
2013,149.88,3102,749.013,87711,91061,254.65,130.88,3420,1830,769.545,707.459,126392,71677,122930,81378
2014,173.37,2691,757.67,93765,100806,254.65,130.88,3420,1830,769.545,707.459,126392,71677,122930,81378
2015,190.33,3126,765.447,102606,101133,254.65,130.88,3420,1830,769.545,707.459,126392,71677,122930,81378
2016,212.11,3141,768.204,107207,107075,254.65,130.88,3420,1830,769.545,707.459,126392,71677,122930,81378
2017,226.9,3420,768.808,117389,115908,254.65,130.88,3420,1830,769.545,707.459,126392,71677,122930,81378
2018,254.65,3150,769.545,126392,122930,254.65,130.88,3420,1830,769.545,707.459,126392,71677,122930,81378
