Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,154.42,2630,252.673,47241,66495,198.73,120.03,2770,1987,275.105,252.673,69355,45478,84213,60247
2009,134.84,2770,255.671,45478,60816,198.73,120.03,2770,1987,275.105,252.673,69355,45478,84213,60247
2010,127.62,2533,263.167,48616,60247,198.73,120.03,2770,1987,275.105,252.673,69355,45478,84213,60247
2011,120.03,2663,264.882,50208,61228,198.73,120.03,2770,1987,275.105,252.673,69355,45478,84213,60247
2012,120.59,2195,266.416,53170,65799,198.73,120.03,2770,1987,275.105,252.673,69355,45478,84213,60247
2013,131.42,2170,268.94,54130,65282,198.73,120.03,2770,1987,275.105,252.673,69355,45478,84213,60247
2014,148.08,1987,271.035,56549,64257,198.73,120.03,2770,1987,275.105,252.673,69355,45478,84213,60247
2015,159.25,2230,273.73,59727,64841,198.73,120.03,2770,1987,275.105,252.673,69355,45478,84213,60247
2016,173.73,2335,274.702,61166,75929,198.73,120.03,2770,1987,275.105,252.673,69355,45478,84213,60247
2017,185.95,2082,275.105,64901,76633,198.73,120.03,2770,1987,275.105,252.673,69355,45478,84213,60247
2018,198.73,2104,274.255,69355,84213,198.73,120.03,2770,1987,275.105,252.673,69355,45478,84213,60247
