Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,190.17,1551,180.45,33117,42362,192.94,131.91,1655,1420,180.901,177.277,46582,33083,53908,41058
2009,165.48,1546,180.901,33083,42552,192.94,131.91,1655,1420,180.901,177.277,46582,33083,53908,41058
2010,145.95,1640,177.277,34622,41058,192.94,131.91,1655,1420,180.901,177.277,46582,33083,53908,41058
2011,133.08,1494,177.572,35568,41796,192.94,131.91,1655,1420,180.901,177.277,46582,33083,53908,41058
2012,131.91,1502,177.868,36381,44477,192.94,131.91,1655,1420,180.901,177.277,46582,33083,53908,41058
2013,143.82,1462,178.401,37154,41236,192.94,131.91,1655,1420,180.901,177.277,46582,33083,53908,41058
2014,158.69,1420,178.905,39667,43661,192.94,131.91,1655,1420,180.901,177.277,46582,33083,53908,41058
2015,166.3,1655,178.361,42298,45943,192.94,131.91,1655,1420,180.901,177.277,46582,33083,53908,41058
2016,171.76,1481,178.581,43412,46663,192.94,131.91,1655,1420,180.901,177.277,46582,33083,53908,41058
2017,182.6,1471,179.539,44480,51207,192.94,131.91,1655,1420,180.901,177.277,46582,33083,53908,41058
2018,192.94,1449,180.04,46582,53908,192.94,131.91,1655,1420,180.901,177.277,46582,33083,53908,41058
