Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,149.67,541,404.838,38219,70173,196.01,97.44,543,404,446.61,404.838,51664,37522,82808,61976
2009,112.44,471,405.67,37522,65079,196.01,97.44,543,404,446.61,404.838,51664,37522,82808,61976
2010,107.3,480,413.944,37723,62948,196.01,97.44,543,404,446.61,404.838,51664,37522,82808,61976
2011,97.91,518,416.305,39036,63090,196.01,97.44,543,404,446.61,404.838,51664,37522,82808,61976
2012,97.44,517,419.699,39560,61976,196.01,97.44,543,404,446.61,404.838,51664,37522,82808,61976
2013,114.15,525,423.749,40941,63398,196.01,97.44,543,404,446.61,404.838,51664,37522,82808,61976
2014,139.91,492,429.155,42591,67106,196.01,97.44,543,404,446.61,404.838,51664,37522,82808,61976
2015,149.85,505,433.708,45146,67202,196.01,97.44,543,404,446.61,404.838,51664,37522,82808,61976
2016,164.26,404,439.3,46999,73200,196.01,97.44,543,404,446.61,404.838,51664,37522,82808,61976
2017,180.61,473,443.877,48364,75931,196.01,97.44,543,404,446.61,404.838,51664,37522,82808,61976
2018,196.01,543,446.61,51664,82808,196.01,97.44,543,404,446.61,404.838,51664,37522,82808,61976
