Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,165.56,828,92.051,34516,49146,208.49,115.65,979,647,96.807,92.051,44535,34516,57879,46188
2009,137.74,647,92.355,34794,48073,208.49,115.65,979,647,96.807,92.051,44535,34516,57879,46188
2010,128.44,804,94.753,34920,46188,208.49,115.65,979,647,96.807,92.051,44535,34516,57879,46188
2011,119.37,979,94.485,36129,48749,208.49,115.65,979,647,96.807,92.051,44535,34516,57879,46188
2012,115.65,857,94.21,36044,46524,208.49,115.65,979,647,96.807,92.051,44535,34516,57879,46188
2013,129.71,974,94.545,37697,47903,208.49,115.65,979,647,96.807,92.051,44535,34516,57879,46188
2014,153.03,723,94.83,39593,51827,208.49,115.65,979,647,96.807,92.051,44535,34516,57879,46188
2015,160.51,666,95.388,41116,50810,208.49,115.65,979,647,96.807,92.051,44535,34516,57879,46188
2016,175.89,706,95.898,41972,51283,208.49,115.65,979,647,96.807,92.051,44535,34516,57879,46188
2017,194.08,687,96.438,42752,54102,208.49,115.65,979,647,96.807,92.051,44535,34516,57879,46188
2018,208.49,655,96.807,44535,57879,208.49,115.65,979,647,96.807,92.051,44535,34516,57879,46188
