Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,185.68,581,61.073,27294,38160,188.54,113.75,581,378,63.916,61.073,42483,27294,47572,37297
2009,151.72,510,61.137,27924,38179,188.54,113.75,581,378,63.916,61.073,42483,27294,47572,37297
2010,133.99,459,63.565,28780,38188,188.54,113.75,581,378,63.916,61.073,42483,27294,47572,37297
2011,120.93,500,63.336,30486,37297,188.54,113.75,581,378,63.916,61.073,42483,27294,47572,37297
2012,113.75,492,63.227,32006,38577,188.54,113.75,581,378,63.916,61.073,42483,27294,47572,37297
2013,127.83,432,62.898,32537,43459,188.54,113.75,581,378,63.916,61.073,42483,27294,47572,37297
2014,144.91,378,62.788,36005,40782,188.54,113.75,581,378,63.916,61.073,42483,27294,47572,37297
2015,154.61,416,63.09,37672,40292,188.54,113.75,581,378,63.916,61.073,42483,27294,47572,37297
2016,163.78,534,63.352,38608,40585,188.54,113.75,581,378,63.916,61.073,42483,27294,47572,37297
2017,172.82,521,63.718,40374,41819,188.54,113.75,581,378,63.916,61.073,42483,27294,47572,37297
2018,188.54,514,63.916,42483,47572,188.54,113.75,581,378,63.916,61.073,42483,27294,47572,37297
