Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,190.42,916,55.626,32711,49151,190.42,120.78,934,724,55.626,53.55,47838,32377,58776,43530
2009,159.7,857,55.105,32377,48027,190.42,120.78,934,724,55.626,53.55,47838,32377,58776,43530
2010,139.15,854,55.191,34592,44751,190.42,120.78,934,724,55.626,53.55,47838,32377,58776,43530
2011,124.33,806,54.825,36492,43530,190.42,120.78,934,724,55.626,53.55,47838,32377,58776,43530
2012,120.78,861,54.218,37593,46624,190.42,120.78,934,724,55.626,53.55,47838,32377,58776,43530
2013,127.41,861,54,37582,50774,190.42,120.78,934,724,55.626,53.55,47838,32377,58776,43530
2014,139.1,776,53.828,40533,49476,190.42,120.78,934,724,55.626,53.55,47838,32377,58776,43530
2015,147.44,934,53.55,43555,53136,190.42,120.78,934,724,55.626,53.55,47838,32377,58776,43530
2016,156.31,896,53.704,45467,50431,190.42,120.78,934,724,55.626,53.55,47838,32377,58776,43530
2017,169.07,795,54.039,46017,58776,190.42,120.78,934,724,55.626,53.55,47838,32377,58776,43530
2018,176.83,724,54.539,47838,56500,190.42,120.78,934,724,55.626,53.55,47838,32377,58776,43530
