Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,176.17,1538,793.737,46070,76190,218.06,142.08,1538,838,850.967,793.737,61712,44473,84170,71043
2009,154.39,1460,801.061,44473,71246,218.06,142.08,1538,838,850.967,793.737,61712,44473,84170,71043
2010,153.31,1515,825.13,45910,71418,218.06,142.08,1538,838,850.967,793.737,61712,44473,84170,71043
2011,144.29,1279,830.196,48059,74019,218.06,142.08,1538,838,850.967,793.737,61712,44473,84170,71043
2012,142.08,1368,833.801,49993,71043,218.06,142.08,1538,838,850.967,793.737,61712,44473,84170,71043
2013,156.37,1150,838.601,50475,76513,218.06,142.08,1538,838,850.967,793.737,61712,44473,84170,71043
2014,177.31,999,842.946,53031,74967,218.06,142.08,1538,838,850.967,793.737,61712,44473,84170,71043
2015,183.49,1018,846.922,55711,79285,218.06,142.08,1538,838,850.967,793.737,61712,44473,84170,71043
2016,195.99,938,848.921,57136,79470,218.06,142.08,1538,838,850.967,793.737,61712,44473,84170,71043
2017,208.63,993,850.802,58761,82436,218.06,142.08,1538,838,850.967,793.737,61712,44473,84170,71043
2018,218.06,838,850.967,61712,84170,218.06,142.08,1538,838,850.967,793.737,61712,44473,84170,71043
