Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,158.99,1417,72.414,30760,46715,209.89,107,1553,1020,78.041,72.35,40929,30760,53822,40947
2009,130.03,1020,72.358,30949,40947,209.89,107,1553,1020,78.041,72.35,40929,30760,53822,40947
2010,123.32,1190,72.35,31504,41045,209.89,107,1553,1020,78.041,72.35,40929,30760,53822,40947
2011,107,1553,72.492,32678,43299,209.89,107,1553,1020,78.041,72.35,40929,30760,53822,40947
2012,107.29,1500,72.792,33009,41599,209.89,107,1553,1020,78.041,72.35,40929,30760,53822,40947
2013,124.55,1488,73.114,34139,41824,209.89,107,1553,1020,78.041,72.35,40929,30760,53822,40947
2014,149.67,1503,73.562,35809,41403,209.89,107,1553,1020,78.041,72.35,40929,30760,53822,40947
2015,156.65,1450,74.083,38180,46500,209.89,107,1553,1020,78.041,72.35,40929,30760,53822,40947
2016,173.28,1296,75.002,39140,46054,209.89,107,1553,1020,78.041,72.35,40929,30760,53822,40947
2017,194.85,1380,76.775,39409,53822,209.89,107,1553,1020,78.041,72.35,40929,30760,53822,40947
2018,209.89,1137,78.041,40929,47504,209.89,107,1553,1020,78.041,72.35,40929,30760,53822,40947
