Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
264148.08,2008,687455,43141,443538,261082.5,298183.58,687455,741504,43141,54430,442447,461767
263751,2009,698895,43543,442447,261082.5,298183.58,687455,741504,43141,54430,442447,461767
264056.92,2010,713906,45697,443904,261082.5,298183.58,687455,741504,43141,54430,442447,461767
261082.5,2011,722038,48123,450364,261082.5,298183.58,687455,741504,43141,54430,442447,461767
264770.17,2012,730399,49449,459222,261082.5,298183.58,687455,741504,43141,54430,442447,461767
271927.83,2013,737045,48142,461110,261082.5,298183.58,687455,741504,43141,54430,442447,461767
280056,2014,736307,50995,461327,261082.5,298183.58,687455,741504,43141,54430,442447,461767
289353.67,2015,737547,52381,461767,261082.5,298183.58,687455,741504,43141,54430,442447,461767
294631.92,2016,741504,51194,457371,261082.5,298183.58,687455,741504,43141,54430,442447,461767
296118.33,2017,739786,51751,456799,261082.5,298183.58,687455,741504,43141,54430,442447,461767
298183.58,2018,737438,54430,459178,261082.5,298183.58,687455,741504,43141,54430,442447,461767
