Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
218327.67,2008,6280362,32012,3402808,140399.67,247449.58,6280362,7171646,30844,39955,3181571,3859137
174921.42,2009,6343154,30844,3228493,140399.67,247449.58,6280362,7171646,30844,39955,3181571,3859137
158375.42,2010,6407774,30918,3181571,140399.67,247449.58,6280362,7171646,30844,39955,3181571,3859137
140399.67,2011,6473497,31712,3239045,140399.67,247449.58,6280362,7171646,30844,39955,3181571,3859137
150678.42,2012,6556629,32834,3295537,140399.67,247449.58,6280362,7171646,30844,39955,3181571,3859137
177404.5,2013,6634999,33005,3371219,140399.67,247449.58,6280362,7171646,30844,39955,3181571,3859137
192149.92,2014,6733840,34501,3448173,140399.67,247449.58,6280362,7171646,30844,39955,3181571,3859137
201669,2015,6833596,35591,3548174,140399.67,247449.58,6280362,7171646,30844,39955,3181571,3859137
215061.5,2016,6945452,36490,3646604,140399.67,247449.58,6280362,7171646,30844,39955,3181571,3859137
229914.25,2017,7048876,38196,3751283,140399.67,247449.58,6280362,7171646,30844,39955,3181571,3859137
247449.58,2018,7171646,39955,3859137,140399.67,247449.58,6280362,7171646,30844,39955,3181571,3859137
