Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
404677.25,2008,36604337,38100,20654292,308691.17,541798.17,36604337,39557045,37674,54800,19642444,24218195
330942.42,2009,36961229,37674,19837628,308691.17,541798.17,36604337,39557045,37674,54800,19642444,24218195
328954.58,2010,37320903,38860,19642444,308691.17,541798.17,36604337,39557045,37674,54800,19642444,24218195
310126.58,2011,37641823,40624,19986021,308691.17,541798.17,36604337,39557045,37674,54800,19642444,24218195
308691.17,2012,37960782,42890,20666908,308691.17,541798.17,36604337,39557045,37674,54800,19642444,24218195
367844.08,2013,38280824,42651,21319995,308691.17,541798.17,36604337,39557045,37674,54800,19642444,24218195
414926.58,2014,38625139,45171,21997098,308691.17,541798.17,36604337,39557045,37674,54800,19642444,24218195
439269.33,2015,38953142,47798,22686455,308691.17,541798.17,36604337,39557045,37674,54800,19642444,24218195
471302.67,2016,39209127,49601,23165468,308691.17,541798.17,36604337,39557045,37674,54800,19642444,24218195
504469.17,2017,39399349,51644,23610226,308691.17,541798.17,36604337,39557045,37674,54800,19642444,24218195
541798.17,2018,39557045,54800,24218195,308691.17,541798.17,36604337,39557045,37674,54800,19642444,24218195
