Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
238849.33,2008,4889730,37308,3251097,221233.17,378456.25,4889730,5695564,35961,51405,3143637,3864154
231681,2009,4972195,35961,3164426,221233.17,378456.25,4889730,5695564,35961,51405,3143637,3864154
229852.5,2010,5048281,36377,3143637,221233.17,378456.25,4889730,5695564,35961,51405,3143637,3864154
221233.17,2011,5121771,38484,3204078,221233.17,378456.25,4889730,5695564,35961,51405,3143637,3864154
225722,2012,5193721,40420,3262925,221233.17,378456.25,4889730,5695564,35961,51405,3143637,3864154
244135.5,2013,5270482,41578,3356175,221233.17,378456.25,4889730,5695564,35961,51405,3143637,3864154
263259.67,2014,5351218,44493,3467519,221233.17,378456.25,4889730,5695564,35961,51405,3143637,3864154
291692.67,2015,5452107,45521,3574369,221233.17,378456.25,4889730,5695564,35961,51405,3143637,3864154
322964.08,2016,5540921,45492,3668134,221233.17,378456.25,4889730,5695564,35961,51405,3143637,3864154
351617.58,2017,5615902,48341,3768593,221233.17,378456.25,4889730,5695564,35961,51405,3143637,3864154
378456.25,2018,5695564,51405,3864154,221233.17,378456.25,4889730,5695564,35961,51405,3143637,3864154
