Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
298742.92,2008,3545579,51566,2256043,234552.83,298742.92,3545579,3594915,51566,65063,2171933,2327354
275521.92,2009,3561807,52725,2196161,234552.83,298742.92,3545579,3594915,51566,65063,2171933,2327354
264541.25,2010,3579125,54307,2171933,234552.83,298742.92,3545579,3594915,51566,65063,2171933,2327354
249078.25,2011,3588023,54909,2206269,234552.83,298742.92,3545579,3594915,51566,65063,2171933,2327354
234552.83,2012,3594395,55794,2223221,234552.83,298742.92,3545579,3594915,51566,65063,2171933,2327354
239182.58,2013,3594915,53357,2246561,234552.83,298742.92,3545579,3594915,51566,65063,2171933,2327354
241057.67,2014,3594783,55911,2266029,234552.83,298742.92,3545579,3594915,51566,65063,2171933,2327354
239793,2015,3587509,57281,2288017,234552.83,298742.92,3545579,3594915,51566,65063,2171933,2327354
240019.92,2016,3578674,59090,2300054,234552.83,298742.92,3545579,3594915,51566,65063,2171933,2327354
246382,2017,3573880,60909,2304746,234552.83,298742.92,3545579,3594915,51566,65063,2171933,2327354
252853.08,2018,3572665,65063,2327354,234552.83,298742.92,3545579,3594915,51566,65063,2171933,2327354
