Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
442989.33,2008,580236,51884,794912,415161.58,599504.83,580236,702455,51884,70167,794912,915637
419767.75,2009,592228,52744,795912,415161.58,599504.83,580236,702455,51884,70167,794912,915637
419853.58,2010,605085,55855,809137,415161.58,599504.83,580236,702455,51884,70167,794912,915637
415161.58,2011,619602,58434,826761,415161.58,599504.83,580236,702455,51884,70167,794912,915637
425557.58,2012,634725,58843,834413,415161.58,599504.83,580236,702455,51884,70167,794912,915637
470710.67,2013,650431,57908,848226,415161.58,599504.83,580236,702455,51884,70167,794912,915637
518323.17,2014,662513,60782,860669,415161.58,599504.83,580236,702455,51884,70167,794912,915637
527298.42,2015,675254,63871,873193,415161.58,599504.83,580236,702455,51884,70167,794912,915637
550813.25,2016,686575,65928,891451,415161.58,599504.83,580236,702455,51884,70167,794912,915637
577828.33,2017,695691,67127,902940,415161.58,599504.83,580236,702455,51884,70167,794912,915637
599504.83,2018,702455,70167,915637,415161.58,599504.83,580236,702455,51884,70167,794912,915637
