Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
212339.5,2008,18527305,35269,10269499,139338.67,232735.08,18527305,21299325,33714,45273,9805154,12462208
169005.67,2009,18652644,33714,9841883,139338.67,232735.08,18527305,21299325,33714,45273,9805154,12462208
153542.83,2010,18845785,35368,9805154,139338.67,232735.08,18527305,21299325,33714,45273,9805154,12462208
139367.92,2011,19093352,36391,10036634,139338.67,232735.08,18527305,21299325,33714,45273,9805154,12462208
139338.67,2012,19326230,37244,10249024,139338.67,232735.08,18527305,21299325,33714,45273,9805154,12462208
155809,2013,19563166,36465,10539255,139338.67,232735.08,18527305,21299325,33714,45273,9805154,12462208
173393.83,2014,19860330,38546,10937166,139338.67,232735.08,18527305,21299325,33714,45273,9805154,12462208
186191.75,2015,20224249,40216,11366665,139338.67,232735.08,18527305,21299325,33714,45273,9805154,12462208
202251.75,2016,20629982,40989,11673201,139338.67,232735.08,18527305,21299325,33714,45273,9805154,12462208
217867.33,2017,20976812,43058,12130376,139338.67,232735.08,18527305,21299325,33714,45273,9805154,12462208
232735.08,2018,21299325,45273,12462208,139338.67,232735.08,18527305,21299325,33714,45273,9805154,12462208
