Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
164414.75,2008,9504843,31232,5450887,120542.83,185811.58,9504843,10519475,30990,41578,5211352,6274450
147370.08,2009,9620846,30990,5247022,120542.83,185811.58,9504843,10519475,30990,41578,5211352,6274450
137163.67,2010,9711810,31317,5211352,120542.83,185811.58,9504843,10519475,30990,41578,5211352,6274450
124057.5,2011,9801578,32910,5325616,120542.83,185811.58,9504843,10519475,30990,41578,5211352,6274450
120542.83,2012,9901496,33560,5384572,120542.83,185811.58,9504843,10519475,30990,41578,5211352,6274450
130200.33,2013,9973326,33474,5496783,120542.83,185811.58,9504843,10519475,30990,41578,5211352,6274450
142742.75,2014,10069001,35473,5670735,120542.83,185811.58,9504843,10519475,30990,41578,5211352,6274450
151245.83,2015,10181111,36990,5832372,120542.83,185811.58,9504843,10519475,30990,41578,5211352,6274450
160367.67,2016,10304763,37951,5971729,120542.83,185811.58,9504843,10519475,30990,41578,5211352,6274450
170893.42,2017,10413055,39639,6140776,120542.83,185811.58,9504843,10519475,30990,41578,5211352,6274450
185811.58,2018,10519475,41578,6274450,120542.83,185811.58,9504843,10519475,30990,41578,5211352,6274450
