Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
123888.33,2008,3016734,34559,1997615,118839.25,145972.92,3016734,3156145,33926,44965,1950444,2087993
122310.17,2009,3032870,33926,1959142,118839.25,145972.92,3016734,3156145,33926,44965,1950444,2087993
121753.83,2010,3050767,34724,1950444,118839.25,145972.92,3016734,3156145,33926,44965,1950444,2087993
118839.25,2011,3066054,36963,1975960,118839.25,145972.92,3016734,3156145,33926,44965,1950444,2087993
119281.25,2012,3076097,38661,1993430,118839.25,145972.92,3016734,3156145,33926,44965,1950444,2087993
122627.58,2013,3093078,38967,2019480,118839.25,145972.92,3016734,3156145,33926,44965,1950444,2087993
125954.75,2014,3109504,40183,2038926,118839.25,145972.92,3016734,3156145,33926,44965,1950444,2087993
129806.58,2015,3121460,41309,2059398,118839.25,145972.92,3016734,3156145,33926,44965,1950444,2087993
134725.58,2016,3131785,41461,2066052,118839.25,145972.92,3016734,3156145,33926,44965,1950444,2087993
140559.33,2017,3143637,42304,2066284,118839.25,145972.92,3016734,3156145,33926,44965,1950444,2087993
145972.92,2018,3156145,44965,2087993,118839.25,145972.92,3016734,3156145,33926,44965,1950444,2087993
