Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
198501.25,2008,1534320,29380,921093,144589.33,247644.08,1534320,1754208,28699,39587,868718,1038735
176648.08,2009,1554439,28699,880480,144589.33,247644.08,1534320,1754208,28699,39587,868718,1038735
160221.67,2010,1570773,29411,868718,144589.33,247644.08,1534320,1754208,28699,39587,868718,1038735
144589.33,2011,1583828,30567,878541,144589.33,247644.08,1534320,1754208,28699,39587,868718,1038735
149856.58,2012,1595441,32090,883148,144589.33,247644.08,1534320,1754208,28699,39587,868718,1038735
168162,2013,1611530,32797,902866,144589.33,247644.08,1534320,1754208,28699,39587,868718,1038735
177237.67,2014,1631479,34318,925519,144589.33,247644.08,1534320,1754208,28699,39587,868718,1038735
185938.75,2015,1651523,35928,949276,144589.33,247644.08,1534320,1754208,28699,39587,868718,1038735
201288.25,2016,1682930,36535,976418,144589.33,247644.08,1534320,1754208,28699,39587,868718,1038735
219520.5,2017,1718904,37833,1009682,144589.33,247644.08,1534320,1754208,28699,39587,868718,1038735
247644.08,2018,1754208,39587,1038735,144589.33,247644.08,1534320,1754208,28699,39587,868718,1038735
