Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
122121.58,2008,2808076,36202,1858069,116111.5,142523.67,2808076,2911505,35582,46057,1801873,1941000
121509.67,2009,2832704,35582,1813184,116111.5,142523.67,2808076,2911505,35582,46057,1801873,1941000
120855.58,2010,2858213,35875,1801873,116111.5,142523.67,2808076,2911505,35582,46057,1801873,1941000
116977.33,2011,2869035,38431,1819044,116111.5,142523.67,2808076,2911505,35582,46057,1801873,1941000
116111.5,2012,2885361,40738,1841393,116111.5,142523.67,2808076,2911505,35582,46057,1801873,1941000
117754.67,2013,2893510,41232,1869054,116111.5,142523.67,2808076,2911505,35582,46057,1801873,1941000
120014.17,2014,2900896,42067,1895859,116111.5,142523.67,2808076,2911505,35582,46057,1801873,1941000
124313.42,2015,2909502,42489,1910809,116111.5,142523.67,2808076,2911505,35582,46057,1801873,1941000
129268.08,2016,2911263,42636,1916297,116111.5,142523.67,2808076,2911505,35582,46057,1801873,1941000
135466.58,2017,2910689,43627,1917326,116111.5,142523.67,2808076,2911505,35582,46057,1801873,1941000
142523.67,2018,2911505,46057,1941000,116111.5,142523.67,2808076,2911505,35582,46057,1801873,1941000
