Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
151604,2008,4435586,34002,2550836,144560.42,165250.42,4435586,4678215,33521,42055,2529953,2733239
150213.5,2009,4491648,33521,2529953,144560.42,165250.42,4435586,4678215,33521,42055,2529953,2733239
149554.08,2010,4544532,34703,2536560,144560.42,165250.42,4435586,4678215,33521,42055,2529953,2733239
145176.08,2011,4575184,35480,2564944,144560.42,165250.42,4435586,4678215,33521,42055,2529953,2733239
144560.42,2012,4600814,36986,2601174,144560.42,165250.42,4435586,4678215,33521,42055,2529953,2733239
146485.33,2013,4624577,37052,2641657,144560.42,165250.42,4435586,4678215,33521,42055,2529953,2733239
149669.33,2014,4644204,38651,2684755,144560.42,165250.42,4435586,4678215,33521,42055,2529953,2733239
153205.75,2015,4664851,39103,2695547,144560.42,165250.42,4435586,4678215,33521,42055,2529953,2733239
157192.92,2016,4678215,38746,2690552,144560.42,165250.42,4435586,4678215,33521,42055,2529953,2733239
161381,2017,4670818,39779,2701947,144560.42,165250.42,4435586,4678215,33521,42055,2529953,2733239
165250.42,2018,4659978,42055,2733239,144560.42,165250.42,4435586,4678215,33521,42055,2529953,2733239
