Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
326748.83,2008,5684965,42795,3430882,249128.92,326748.83,5684965,6042718,42795,55128,3345423,3762122
286252.17,2009,5730388,43202,3359485,249128.92,326748.83,5684965,6042718,42795,55128,3345423,3762122
270970.5,2010,5788642,44321,3345423,249128.92,326748.83,5684965,6042718,42795,55128,3345423,3762122
254906.25,2011,5838991,45951,3394831,249128.92,326748.83,5684965,6042718,42795,55128,3345423,3762122
249128.92,2012,5887072,47013,3438880,249128.92,326748.83,5684965,6042718,42795,55128,3345423,3762122
261424.67,2013,5923704,46059,3493921,249128.92,326748.83,5684965,6042718,42795,55128,3345423,3762122
272788.5,2014,5958165,47452,3537654,249128.92,326748.83,5684965,6042718,42795,55128,3345423,3762122
274710,2015,5986717,49431,3602938,249128.92,326748.83,5684965,6042718,42795,55128,3345423,3762122
280701.25,2016,6004692,51091,3656163,249128.92,326748.83,5684965,6042718,42795,55128,3345423,3762122
291380.08,2017,6024891,52275,3702196,249128.92,326748.83,5684965,6042718,42795,55128,3345423,3762122
301864.67,2018,6042718,55128,3762122,249128.92,326748.83,5684965,6042718,42795,55128,3345423,3762122
