Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
138115.92,2008,5923916,32892,3625612,119134.92,153056.92,5923916,6126452,32892,42647,3475301,3779836
132424.17,2009,5961088,33003,3522652,119134.92,153056.92,5923916,6126452,32892,42647,3475301,3779836
129393.5,2010,5995976,33558,3475301,119134.92,153056.92,5923916,6126452,32892,42647,3475301,3779836
121723.33,2011,6009641,34579,3506571,119134.92,153056.92,5923916,6126452,32892,42647,3475301,3779836
119134.92,2012,6024081,36249,3528129,119134.92,153056.92,5923916,6126452,32892,42647,3475301,3779836
121903.67,2013,6040658,36090,3565922,119134.92,153056.92,5923916,6126452,32892,42647,3475301,3779836
125652.83,2014,6056293,37341,3596751,119134.92,153056.92,5923916,6126452,32892,42647,3475301,3779836
129922.67,2015,6071745,38286,3654912,119134.92,153056.92,5923916,6126452,32892,42647,3475301,3779836
136262.92,2016,6087203,39422,3700536,119134.92,153056.92,5923916,6126452,32892,42647,3475301,3779836
144360,2017,6108612,40653,3742873,119134.92,153056.92,5923916,6126452,32892,42647,3475301,3779836
153056.92,2018,6126452,42647,3779836,119134.92,153056.92,5923916,6126452,32892,42647,3475301,3779836
