Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
114629.58,2008,2947806,27842,1537431,103630.42,119622.58,2947806,2990623,27788,34752,1490731,1605827
110760.83,2009,2958774,27788,1492290,103630.42,119622.58,2947806,2990623,27788,34752,1490731,1605827
107833.75,2010,2970536,28591,1490731,103630.42,119622.58,2947806,2990623,27788,34752,1490731,1605827
105577.25,2011,2978470,29777,1509941,103630.42,119622.58,2947806,2990623,27788,34752,1490731,1605827
104417,2012,2983767,30793,1519719,103630.42,119622.58,2947806,2990623,27788,34752,1490731,1605827
103630.42,2013,2988797,31118,1532583,103630.42,119622.58,2947806,2990623,27788,34752,1490731,1605827
104648.33,2014,2990623,31777,1556753,103630.42,119622.58,2947806,2990623,27788,34752,1490731,1605827
109018.67,2015,2988693,32097,1568187,103630.42,119622.58,2947806,2990623,27788,34752,1490731,1605827
111863.83,2016,2988298,32608,1580050,103630.42,119622.58,2947806,2990623,27788,34752,1490731,1605827
115459,2017,2989663,33268,1593678,103630.42,119622.58,2947806,2990623,27788,34752,1490731,1605827
119622.58,2018,2986530,34752,1605827,103630.42,119622.58,2947806,2990623,27788,34752,1490731,1605827
