Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
171358.25,2008,9309449,33629,5413586,147369.42,188071.92,9309449,10383620,32444,41049,5178363,6055208
164173.08,2009,9449566,32669,5215744,147369.42,188071.92,9309449,10383620,32444,41049,5178363,6055208
158607.75,2010,9574293,32444,5178363,147369.42,188071.92,9309449,10383620,32444,41049,5178363,6055208
151238.08,2011,9656754,33029,5292814,147369.42,188071.92,9309449,10383620,32444,41049,5178363,6055208
147369.42,2012,9749123,35194,5356443,147369.42,188071.92,9309449,10383620,32444,41049,5178363,6055208
149846.75,2013,9843599,34100,5437125,147369.42,188071.92,9309449,10383620,32444,41049,5178363,6055208
154457.33,2014,9933944,35781,5568662,147369.42,188071.92,9309449,10383620,32444,41049,5178363,6055208
159168,2015,10033079,37089,5695077,147369.42,188071.92,9309449,10383620,32444,41049,5178363,6055208
166049.83,2016,10156679,37727,5828879,147369.42,188071.92,9309449,10383620,32444,41049,5178363,6055208
176257.33,2017,10270800,39137,5933790,147369.42,188071.92,9309449,10383620,32444,41049,5178363,6055208
188071.92,2018,10383620,41049,6055208,147369.42,188071.92,9309449,10383620,32444,41049,5178363,6055208
