Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
193245.17,2008,2010662,30321,1105447,163737.58,193245.17,2010662,2095428,30123,38068,1059977,1115574
183365.25,2009,2036802,30123,1072062,163737.58,193245.17,2010662,2095428,30123,38068,1059977,1115574
177077.92,2010,2064588,31017,1059977,163737.58,193245.17,2010662,2095428,30123,38068,1059977,1115574
167217.67,2011,2080395,32108,1064267,163737.58,193245.17,2010662,2095428,30123,38068,1059977,1115574
163737.58,2012,2087549,32833,1067211,163737.58,193245.17,2010662,2095428,30123,38068,1059977,1115574
165975.42,2013,2092792,31913,1075465,163737.58,193245.17,2010662,2095428,30123,38068,1059977,1115574
170081.58,2014,2090342,33853,1083772,163737.58,193245.17,2010662,2095428,30123,38068,1059977,1115574
171517,2015,2090211,34807,1091984,163737.58,193245.17,2010662,2095428,30123,38068,1059977,1115574
176033.08,2016,2092789,35352,1092637,163737.58,193245.17,2010662,2095428,30123,38068,1059977,1115574
182341.58,2017,2093395,35979,1097669,163737.58,193245.17,2010662,2095428,30123,38068,1059977,1115574
189699.5,2018,2095428,38068,1115574,163737.58,193245.17,2010662,2095428,30123,38068,1059977,1115574
