Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
254670.08,2008,2653630,34778,1619014,137583.92,286128.17,2653630,3034392,33046,44046,1478054,1843815
180378.08,2009,2684665,33046,1512913,137583.92,286128.17,2653630,3034392,33046,44046,1478054,1843815
155032.08,2010,2702464,34134,1478054,137583.92,286128.17,2653630,3034392,33046,44046,1478054,1843815
139525.25,2011,2712799,35142,1501839,137583.92,286128.17,2653630,3034392,33046,44046,1478054,1843815
137583.92,2012,2744566,36034,1519198,137583.92,286128.17,2653630,3034392,33046,44046,1478054,1843815
170522.67,2013,2776972,35174,1561388,137583.92,286128.17,2653630,3034392,33046,44046,1478054,1843815
197381.75,2014,2819012,37372,1608494,137583.92,286128.17,2653630,3034392,33046,44046,1478054,1843815
212352.83,2015,2868666,39528,1664121,137583.92,286128.17,2653630,3034392,33046,44046,1478054,1843815
228864.08,2016,2919772,39975,1723954,137583.92,286128.17,2653630,3034392,33046,44046,1478054,1843815
248909.67,2017,2972405,41805,1782895,137583.92,286128.17,2653630,3034392,33046,44046,1478054,1843815
286128.17,2018,3034392,44046,1843815,137583.92,286128.17,2653630,3034392,33046,44046,1478054,1843815
