Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
286765.58,2008,19212436,40095,11197699,255704.67,313510,19212436,19661411,40095,58005,10984350,12692603
271619.75,2009,19307066,41003,10984350,255704.67,313510,19212436,19661411,40095,58005,10984350,12692603
267573.58,2010,19400080,42250,11005742,255704.67,313510,19212436,19661411,40095,58005,10984350,12692603
260442.17,2011,19498514,43820,11294064,255704.67,313510,19212436,19661411,40095,58005,10984350,12692603
255704.67,2012,19574549,46223,11432840,255704.67,313510,19212436,19661411,40095,58005,10984350,12692603
260688.83,2013,19628043,45675,11619137,255704.67,313510,19212436,19661411,40095,58005,10984350,12692603
268749.17,2014,19656330,47379,11865518,255704.67,313510,19212436,19661411,40095,58005,10984350,12692603
274819.75,2015,19661411,49056,12099078,255704.67,313510,19212436,19661411,40095,58005,10984350,12692603
283204.67,2016,19641589,51369,12258958,255704.67,313510,19212436,19661411,40095,58005,10984350,12692603
296599.42,2017,19590719,55197,12408724,255704.67,313510,19212436,19661411,40095,58005,10984350,12692603
313510,2018,19542209,58005,12692603,255704.67,313510,19212436,19661411,40095,58005,10984350,12692603
