Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
149822.92,2008,799124,37513,561007,147733.33,193973.25,799124,882235,36845,47755,556453,611638
149450.25,2009,807067,36845,556453,147733.33,193973.25,799124,882235,36845,47755,556453,611638
148404.17,2010,816165,38423,558135,147733.33,193973.25,799124,882235,36845,47755,556453,611638
147733.33,2011,823484,41274,566480,147733.33,193973.25,799124,882235,36845,47755,556453,611638
148895.92,2012,833496,41557,574966,147733.33,193973.25,799124,882235,36845,47755,556453,611638
153959.83,2013,842270,41378,581384,147733.33,193973.25,799124,882235,36845,47755,556453,611638
159227.83,2014,849088,42787,589296,147733.33,193973.25,799124,882235,36845,47755,556453,611638
166081.58,2015,853933,44268,592665,147733.33,193973.25,799124,882235,36845,47755,556453,611638
174570.67,2016,862890,44227,597372,147733.33,193973.25,799124,882235,36845,47755,556453,611638
184820.42,2017,873286,45027,603150,147733.33,193973.25,799124,882235,36845,47755,556453,611638
193973.25,2018,882235,47755,611638,147733.33,193973.25,799124,882235,36845,47755,556453,611638
