Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
139846.33,2008,24309039,35017,14365941,131523.08,196120.5,24309039,28701845,33887,45904,14202794,17598844
136701,2009,24801761,33887,14202794,131523.08,196120.5,24309039,28701845,33887,45904,14202794,17598844
135985.08,2010,25242679,35194,14262558,131523.08,196120.5,24309039,28701845,33887,45904,14202794,17598844
131523.08,2011,25646227,37448,14681432,131523.08,196120.5,24309039,28701845,33887,45904,14202794,17598844
132386.58,2012,26089620,39450,15095912,131523.08,196120.5,24309039,28701845,33887,45904,14202794,17598844
139824.75,2013,26489464,39424,15529989,131523.08,196120.5,24309039,28701845,33887,45904,14202794,17598844
150690.58,2014,26977142,41574,16000512,131523.08,196120.5,24309039,28701845,33887,45904,14202794,17598844
162354.67,2015,27486814,41816,16413328,131523.08,196120.5,24309039,28701845,33887,45904,14202794,17598844
173656.5,2016,27937492,41278,16684682,131523.08,196120.5,24309039,28701845,33887,45904,14202794,17598844
185235.08,2017,28322717,43467,17159034,131523.08,196120.5,24309039,28701845,33887,45904,14202794,17598844
196120.5,2018,28701845,45904,17598844,131523.08,196120.5,24309039,28701845,33887,45904,14202794,17598844
