Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
250933,2008,2663029,30212,1688150,197309.33,320007.25,2663029,3161105,28993,41278,1620799,2060938
226886.83,2009,2723421,28993,1633982,197309.33,320007.25,2663029,3161105,28993,41278,1620799,2060938
213257.5,2010,2775334,29337,1620799,197309.33,320007.25,2663029,3161105,28993,41278,1620799,2060938
197309.33,2011,2814216,30936,1664426,197309.33,320007.25,2663029,3161105,28993,41278,1620799,2060938
199468,2012,2853467,32591,1706060,197309.33,320007.25,2663029,3161105,28993,41278,1620799,2060938
221794.5,2013,2897927,32840,1753371,197309.33,320007.25,2663029,3161105,28993,41278,1620799,2060938
234609.42,2014,2937399,34403,1803953,197309.33,320007.25,2663029,3161105,28993,41278,1620799,2060938
246678.5,2015,2982497,36338,1866146,197309.33,320007.25,2663029,3161105,28993,41278,1620799,2060938
266499.67,2016,3042613,37563,1933657,197309.33,320007.25,2663029,3161105,28993,41278,1620799,2060938
291609.58,2017,3103118,39045,1997317,197309.33,320007.25,2663029,3161105,28993,41278,1620799,2060938
320007.25,2018,3161105,41278,2060938,197309.33,320007.25,2663029,3161105,28993,41278,1620799,2060938
