Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
262727.92,2008,7833496,39621,4870415,228762.83,270884.92,7833496,8517685,39498,50627,4743189,5325308
242130.17,2009,7925937,39498,4758119,228762.83,270884.92,7833496,8517685,39498,50627,4743189,5325308
237844.75,2010,8023680,40612,4743189,228762.83,270884.92,7833496,8517685,39498,50627,4743189,5325308
229708.08,2011,8100469,42145,4802678,228762.83,270884.92,7833496,8517685,39498,50627,4743189,5325308
228762.83,2012,8185229,43985,4856886,228762.83,270884.92,7833496,8517685,39498,50627,4743189,5325308
237109.5,2013,8253053,42848,4898765,228762.83,270884.92,7833496,8517685,39498,50627,4743189,5325308
244235.67,2014,8312076,44504,4953354,228762.83,270884.92,7833496,8517685,39498,50627,4743189,5325308
247770.17,2015,8362907,46154,5060545,228762.83,270884.92,7833496,8517685,39498,50627,4743189,5325308
252578.33,2016,8410946,46738,5142525,228762.83,270884.92,7833496,8517685,39498,50627,4743189,5325308
261839.17,2017,8465207,48162,5229218,228762.83,270884.92,7833496,8517685,39498,50627,4743189,5325308
270884.92,2018,8517685,50627,5325308,228762.83,270884.92,7833496,8517685,39498,50627,4743189,5325308
