Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
236694.5,2008,624151,36564,424270,226401.33,248659.83,623644,626979,36564,48620,413312,440670
230735.25,2009,624817,36957,414181,226401.33,248659.83,623644,626979,36564,48620,413312,440670
227659.42,2010,625880,37993,413312,226401.33,248659.83,623644,626979,36564,48620,413312,440670
227236.5,2011,626979,39648,416949,226401.33,248659.83,623644,626979,36564,48620,413312,440670
226416.08,2012,626063,41216,421809,226401.33,248659.83,623644,626979,36564,48620,413312,440670
226401.33,2013,626212,41346,425029,226401.33,248659.83,623644,626979,36564,48620,413312,440670
226602,2014,625218,42944,428938,226401.33,248659.83,623644,626979,36564,48620,413312,440670
228722.33,2015,625197,44448,432641,226401.33,248659.83,623644,626979,36564,48620,413312,440670
231144.5,2016,623644,45485,433808,226401.33,248659.83,623644,626979,36564,48620,413312,440670
238424.08,2017,624525,46444,436990,226401.33,248659.83,623644,626979,36564,48620,413312,440670
248659.83,2018,626299,48620,440670,226401.33,248659.83,623644,626979,36564,48620,413312,440670
