Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
303386.25,2008,6562231,40163,3954911,224545.75,388077,6562231,7535591,38737,55452,3771444,4560332
271166.92,2009,6667426,38737,3815691,224545.75,388077,6562231,7535591,38737,55452,3771444,4560332
255970.17,2010,6742902,39235,3771444,224545.75,388077,6562231,7535591,38737,55452,3771444,4560332
232232.17,2011,6821655,40567,3814305,224545.75,388077,6562231,7535591,38737,55452,3771444,4560332
224545.75,2012,6892876,43471,3909210,224545.75,388077,6562231,7535591,38737,55452,3771444,4560332
245537.25,2013,6962906,43494,3991724,224545.75,388077,6562231,7535591,38737,55452,3771444,4560332
264008.67,2014,7052439,46268,4094309,224545.75,388077,6562231,7535591,38737,55452,3771444,4560332
284555.42,2015,7163543,48030,4198931,224545.75,388077,6562231,7535591,38737,55452,3771444,4560332
315047.17,2016,7294680,49670,4310239,224545.75,388077,6562231,7535591,38737,55452,3771444,4560332
351264.67,2017,7425432,52165,4441946,224545.75,388077,6562231,7535591,38737,55452,3771444,4560332
388077,2018,7535591,55452,4560332,224545.75,388077,6562231,7535591,38737,55452,3771444,4560332
