Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
173346.33,2008,5640996,34333,3572922,144531.67,188437.83,5640996,5813568,34333,45733,3426438,3736429
163732.08,2009,5669264,34418,3444622,144531.67,188437.83,5640996,5813568,34333,45733,3426438,3736429
159532.92,2010,5690479,35234,3426438,144531.67,188437.83,5640996,5813568,34333,45733,3426438,3736429
148633.33,2011,5704755,36818,3474418,144531.67,188437.83,5640996,5813568,34333,45733,3426438,3736429
144531.67,2012,5719855,38548,3499405,144531.67,188437.83,5640996,5813568,34333,45733,3426438,3736429
147384.33,2013,5736952,38292,3539937,144531.67,188437.83,5640996,5813568,34333,45733,3426438,3736429
153705.5,2014,5751974,39962,3585838,144531.67,188437.83,5640996,5813568,34333,45733,3426438,3736429
157946.83,2015,5761406,41239,3624387,144531.67,188437.83,5640996,5813568,34333,45733,3426438,3736429
165089.08,2016,5772958,41908,3657646,144531.67,188437.83,5640996,5813568,34333,45733,3426438,3736429
176227.75,2017,5792051,43441,3686510,144531.67,188437.83,5640996,5813568,34333,45733,3426438,3736429
188437.83,2018,5813568,45733,3736429,144531.67,188437.83,5640996,5813568,34333,45733,3426438,3736429
