Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
108847.75,2008,2874554,28699,1579283,100690.58,121757.67,2874554,3013825,28545,39171,1541272,1663188
105154.25,2009,2896843,28545,1542944,100690.58,121757.67,2874554,3013825,28545,39171,1541272,1663188
103631,2010,2921978,29278,1541272,100690.58,121757.67,2874554,3013825,28545,39171,1541272,1663188
100690.58,2011,2940407,30788,1561948,100690.58,121757.67,2874554,3013825,28545,39171,1541272,1663188
101611.75,2012,2952109,33039,1565142,100690.58,121757.67,2874554,3013825,28545,39171,1541272,1663188
103895,2013,2959549,32750,1569249,100690.58,121757.67,2874554,3013825,28545,39171,1541272,1663188
105427,2014,2967726,34621,1587414,100690.58,121757.67,2874554,3013825,28545,39171,1541272,1663188
108012.17,2015,2978407,35516,1610779,100690.58,121757.67,2874554,3013825,28545,39171,1541272,1663188
111727.75,2016,2990410,36185,1629237,100690.58,121757.67,2874554,3013825,28545,39171,1541272,1663188
116365.33,2017,3002997,37443,1644432,100690.58,121757.67,2874554,3013825,28545,39171,1541272,1663188
121757.67,2018,3013825,39171,1663188,100690.58,121757.67,2874554,3013825,28545,39171,1541272,1663188
