Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
263088.75,2008,883874,35747,544911,209151.17,263088.75,883874,967171,35747,46406,522400,595526
245060.08,2009,891730,36824,525634,209151.17,263088.75,883874,967171,35747,46406,522400,595526
236901.58,2010,899595,36869,522400,209151.17,263088.75,883874,967171,35747,46406,522400,595526
221294.92,2011,907316,39149,530400,209151.17,263088.75,883874,967171,35747,46406,522400,595526
209589.08,2012,915188,39402,534261,209151.17,263088.75,883874,967171,35747,46406,522400,595526
209151.17,2013,923638,39377,544797,209151.17,263088.75,883874,967171,35747,46406,522400,595526
218482.17,2014,932596,40912,556517,209151.17,263088.75,883874,967171,35747,46406,522400,595526
225194.75,2015,941413,42484,568879,209151.17,263088.75,883874,967171,35747,46406,522400,595526
233206.92,2016,949216,42942,578596,209151.17,263088.75,883874,967171,35747,46406,522400,595526
239729,2017,957078,44384,586045,209151.17,263088.75,883874,967171,35747,46406,522400,595526
248931.17,2018,967171,46406,595526,209151.17,263088.75,883874,967171,35747,46406,522400,595526
