Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
518756.08,2008,1332213,37633,858402,462489.25,631581.67,1332213,1428105,37633,49487,824460,931153
472130.17,2009,1346717,37808,829897,462489.25,631581.67,1332213,1428105,37633,49487,824460,931153
466317.83,2010,1363963,38424,824460,462489.25,631581.67,1332213,1428105,37633,49487,824460,931153
464287.75,2011,1379252,39589,835012,462489.25,631581.67,1332213,1428105,37633,49487,824460,931153
462489.25,2012,1394905,40707,849156,462489.25,631581.67,1332213,1428105,37633,49487,824460,931153
487026,2013,1408453,40434,868122,462489.25,631581.67,1332213,1428105,37633,49487,824460,931153
525467.08,2014,1414862,42464,882732,462489.25,631581.67,1332213,1428105,37633,49487,824460,931153
546922.58,2015,1422484,44155,901206,462489.25,631581.67,1332213,1428105,37633,49487,824460,931153
570886,2016,1428105,45491,913190,462489.25,631581.67,1332213,1428105,37633,49487,824460,931153
604723.17,2017,1424203,47326,920376,462489.25,631581.67,1332213,1428105,37633,49487,824460,931153
631581.67,2018,1420491,49487,931153,462489.25,631581.67,1332213,1428105,37633,49487,824460,931153
