Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
218063.25,2008,12747038,37837,7553059,154113,218063.25,12741080,12898269,37021,49890,7251002,7952370
192879.08,2009,12796778,37021,7304316,154113,218063.25,12741080,12898269,37021,49890,7251002,7952370
180213.33,2010,12840762,37800,7251002,154113,218063.25,12741080,12898269,37021,49890,7251002,7952370
164272.08,2011,12867291,38930,7376100,154113,218063.25,12741080,12898269,37021,49890,7251002,7952370
154113,2012,12884119,40551,7434661,154113,218063.25,12741080,12898269,37021,49890,7251002,7952370
159869.25,2013,12898269,41102,7503158,154113,218063.25,12741080,12898269,37021,49890,7251002,7952370
169671.5,2014,12888962,43180,7613484,154113,218063.25,12741080,12898269,37021,49890,7251002,7952370
174935.92,2015,12864342,44807,7748883,154113,218063.25,12741080,12898269,37021,49890,7251002,7952370
181709.25,2016,12826895,45717,7799593,154113,218063.25,12741080,12898269,37021,49890,7251002,7952370
191020.42,2017,12786196,47091,7839160,154113,218063.25,12741080,12898269,37021,49890,7251002,7952370
198678.25,2018,12741080,49890,7952370,154113,218063.25,12741080,12898269,37021,49890,7251002,7952370
