Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
121000,2008,6424806,31436,3682931,112176,142887.25,6424806,6691878,31143,42383,3523018,3967404
117660.25,2009,6459325,31143,3523018,112176,142887.25,6424806,6691878,31143,42383,3523018,3967404
116139.67,2010,6490436,32291,3525335,112176,142887.25,6424806,6691878,31143,42383,3523018,3967404
112788.42,2011,6516045,33963,3590196,112176,142887.25,6424806,6691878,31143,42383,3523018,3967404
112176,2012,6537640,35648,3642334,112176,142887.25,6424806,6691878,31143,42383,3523018,3967404
113818.75,2013,6568367,35671,3684125,112176,142887.25,6424806,6691878,31143,42383,3523018,3967404
117695.5,2014,6593533,37014,3740428,112176,142887.25,6424806,6691878,31143,42383,3523018,3967404
121310.92,2015,6608296,38195,3796375,112176,142887.25,6424806,6691878,31143,42383,3523018,3967404
125952.75,2016,6633344,39149,3847261,112176,142887.25,6424806,6691878,31143,42383,3523018,3967404
133300.67,2017,6660082,40457,3912817,112176,142887.25,6424806,6691878,31143,42383,3523018,3967404
142887.25,2018,6691878,42383,3967404,112176,142887.25,6424806,6691878,31143,42383,3523018,3967404
