Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
116438.92,2008,4289878,29236,2402591,110102.42,137922.33,4289878,4468402,29236,38075,2325249,2549975
115134.67,2009,4317074,29319,2325249,110102.42,137922.33,4289878,4468402,29236,38075,2325249,2549975
114232.83,2010,4348200,30161,2325921,110102.42,137922.33,4289878,4468402,29236,38075,2325249,2549975
110704.83,2011,4369488,31258,2368202,110102.42,137922.33,4289878,4468402,29236,38075,2325249,2549975
110102.42,2012,4386381,32373,2389363,110102.42,137922.33,4289878,4468402,29236,38075,2325249,2549975
111653.08,2013,4404817,32281,2407562,110102.42,137922.33,4289878,4468402,29236,38075,2325249,2549975
114202.17,2014,4414483,33753,2440072,110102.42,137922.33,4289878,4468402,29236,38075,2325249,2549975
117985.92,2015,4425999,34925,2473302,110102.42,137922.33,4289878,4468402,29236,38075,2325249,2549975
123269.92,2016,4438229,35361,2498410,110102.42,137922.33,4289878,4468402,29236,38075,2325249,2549975
130466.25,2017,4453874,36588,2524927,110102.42,137922.33,4289878,4468402,29236,38075,2325249,2549975
137922.33,2018,4468402,38075,2549975,110102.42,137922.33,4289878,4468402,29236,38075,2325249,2549975
