Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
210144.08,2008,1330509,33166,823517,183483.75,228402.67,1327632,1338404,33166,43909,791331,848459
195748.58,2009,1329590,33864,800501,183483.75,228402.67,1327632,1338404,33166,43909,791331,848459
190397.5,2010,1327632,34626,791331,183483.75,228402.67,1327632,1338404,33166,43909,791331,848459
186254.75,2011,1328150,35710,794389,183483.75,228402.67,1327632,1338404,33166,43909,791331,848459
183483.75,2012,1327691,36500,796903,183483.75,228402.67,1327632,1338404,33166,43909,791331,848459
186928.75,2013,1328196,36086,803641,183483.75,228402.67,1327632,1338404,33166,43909,791331,848459
188577.25,2014,1330760,37649,810868,183483.75,228402.67,1327632,1338404,33166,43909,791331,848459
193439.42,2015,1328484,39063,816598,183483.75,228402.67,1327632,1338404,33166,43909,791331,848459
202661.25,2016,1331370,40020,826651,183483.75,228402.67,1327632,1338404,33166,43909,791331,848459
215184.33,2017,1335063,41603,836117,183483.75,228402.67,1327632,1338404,33166,43909,791331,848459
228402.67,2018,1338404,43909,848459,183483.75,228402.67,1327632,1338404,33166,43909,791331,848459
