Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
340259.42,2008,6468967,44187,4215669,300737.67,410535.75,6468967,6902149,44187,61147,4115539,4872851
318173.67,2009,6517613,44993,4115997,300737.67,410535.75,6468967,6902149,44187,61147,4115539,4872851
319751.08,2010,6566431,46563,4115539,300737.67,410535.75,6468967,6902149,44187,61147,4115539,4872851
307386.58,2011,6613149,47699,4175311,300737.67,410535.75,6468967,6902149,44187,61147,4115539,4872851
300737.67,2012,6663158,49709,4253327,300737.67,410535.75,6468967,6902149,44187,61147,4115539,4872851
319464.5,2013,6713944,48765,4353568,300737.67,410535.75,6468967,6902149,44187,61147,4115539,4872851
336783.92,2014,6763652,50755,4447626,300737.67,410535.75,6468967,6902149,44187,61147,4115539,4872851
349761.58,2015,6795891,53624,4631324,300737.67,410535.75,6468967,6902149,44187,61147,4115539,4872851
366520.92,2016,6826022,55453,4709778,300737.67,410535.75,6468967,6902149,44187,61147,4115539,4872851
387811.67,2017,6863246,57826,4788192,300737.67,410535.75,6468967,6902149,44187,61147,4115539,4872851
410535.75,2018,6902149,61147,4872851,300737.67,410535.75,6468967,6902149,44187,61147,4115539,4872851
