Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
131763.67,2008,9946889,31816,5337644,97045.08,161215.17,9877535,9995915,31171,42979,5038194,5728602
111600.5,2009,9901591,31171,5046501,97045.08,161215.17,9877535,9995915,31171,42979,5038194,5728602
103493,2010,9877535,32253,5038194,97045.08,161215.17,9877535,9995915,31171,42979,5038194,5728602
97045.08,2011,9881521,33780,5165348,97045.08,161215.17,9877535,9995915,31171,42979,5038194,5728602
98239.58,2012,9896930,35110,5234473,97045.08,161215.17,9877535,9995915,31171,42979,5038194,5728602
109276.25,2013,9913349,35029,5323762,97045.08,161215.17,9877535,9995915,31171,42979,5038194,5728602
121922.42,2014,9930589,36652,5412041,97045.08,161215.17,9877535,9995915,31171,42979,5038194,5728602
128970.33,2015,9932573,38611,5501054,97045.08,161215.17,9877535,9995915,31171,42979,5038194,5728602
137405.58,2016,9951890,39648,5575128,97045.08,161215.17,9877535,9995915,31171,42979,5038194,5728602
148785.75,2017,9976447,40841,5643225,97045.08,161215.17,9877535,9995915,31171,42979,5038194,5728602
161215.17,2018,9995915,42979,5728602,97045.08,161215.17,9877535,9995915,31171,42979,5038194,5728602
