Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
206380.42,2008,5247018,37462,3526499,165139.58,242275.83,5247018,5611179,36693,49902,3408753,3795762
188152.58,2009,5281203,36693,3424435,165139.58,242275.83,5247018,5611179,36693,49902,3408753,3795762
182794.5,2010,5310843,37952,3408753,165139.58,242275.83,5247018,5611179,36693,49902,3408753,3795762
167436.25,2011,5345668,39907,3469201,165139.58,242275.83,5247018,5611179,36693,49902,3408753,3795762
165139.58,2012,5376550,42158,3505578,165139.58,242275.83,5247018,5611179,36693,49902,3408753,3795762
179844.08,2013,5413693,41606,3556487,165139.58,242275.83,5247018,5611179,36693,49902,3408753,3795762
193670.25,2014,5451522,43625,3603717,165139.58,242275.83,5247018,5611179,36693,49902,3408753,3795762
200712.92,2015,5482503,45097,3662971,165139.58,242275.83,5247018,5611179,36693,49902,3408753,3795762
212522.75,2016,5523409,45883,3698363,165139.58,242275.83,5247018,5611179,36693,49902,3408753,3795762
226970.5,2017,5568155,47345,3743706,165139.58,242275.83,5247018,5611179,36693,49902,3408753,3795762
242275.83,2018,5611179,49902,3795762,165139.58,242275.83,5247018,5611179,36693,49902,3408753,3795762
