Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
211622.83,2008,976415,31495,636171,195083.83,258810.33,976415,1062305,31256,42627,616344,685116
207435.75,2009,983982,31256,619407,195083.83,258810.33,976415,1062305,31256,42627,616344,685116
201521,2010,990722,32841,616344,195083.83,258810.33,976415,1062305,31256,42627,616344,685116
195083.83,2011,997221,34583,623175,195083.83,258810.33,976415,1062305,31256,42627,616344,685116
197543.92,2012,1003754,36388,633135,195083.83,258810.33,976415,1062305,31256,42627,616344,685116
206434.42,2013,1013564,35975,641917,195083.83,258810.33,976415,1062305,31256,42627,616344,685116
216603.5,2014,1021891,37341,648873,195083.83,258810.33,976415,1062305,31256,42627,616344,685116
225839.58,2015,1030503,38728,660326,195083.83,258810.33,976415,1062305,31256,42627,616344,685116
233341.08,2016,1040863,38989,667552,195083.83,258810.33,976415,1062305,31256,42627,616344,685116
244651.5,2017,1053090,40439,675503,195083.83,258810.33,976415,1062305,31256,42627,616344,685116
258810.33,2018,1062305,42627,685116,195083.83,258810.33,976415,1062305,31256,42627,616344,685116
