Price,Year,Population,RDPI,Employment,PriceMin,PriceMax,PopulationMin,PopulationMax,RDPIMin,RDPIMax,EmploymentMin,EmploymentMax
125656,2008,1796378,36030,1237365,121521.58,163849.25,1796378,1929268,35965,47931,1219802,1335240
124111.08,2009,1812683,35965,1223177,121521.58,163849.25,1796378,1929268,35965,47931,1219802,1335240
125353.08,2010,1829536,37353,1219802,121521.58,163849.25,1796378,1929268,35965,47931,1219802,1335240
121521.58,2011,1840538,41307,1232457,121521.58,163849.25,1796378,1929268,35965,47931,1219802,1335240
121865.58,2012,1853323,42115,1251258,121521.58,163849.25,1796378,1929268,35965,47931,1219802,1335240
127138.17,2013,1865414,41841,1266477,121521.58,163849.25,1796378,1929268,35965,47931,1219802,1335240
131094.42,2014,1879522,43876,1282745,121521.58,163849.25,1796378,1929268,35965,47931,1219802,1335240
137335.08,2015,1891507,45386,1302888,121521.58,163849.25,1796378,1929268,35965,47931,1219802,1335240
143741,2016,1905924,44517,1311043,121521.58,163849.25,1796378,1929268,35965,47931,1219802,1335240
153646.83,2017,1917575,45321,1320856,121521.58,163849.25,1796378,1929268,35965,47931,1219802,1335240
163849.25,2018,1929268,47931,1335240,121521.58,163849.25,1796378,1929268,35965,47931,1219802,1335240
